Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm)
22,7.05,8.2,1.8,0,0.3,0,0,263
20.5,4.3,8.35,4.7,0,0.3,0,0,462.5
20.5,7.8,8.4,1.3,0,0.55,0,0,245.5
21,7.25,8.3,1.15,0,0.2,0,0,271
19.8,4.4,7.8,36.8,411.75,2.2,468.5,823.5,875
21,8.35,7.8,1.4,630,5.6,399,1260,338
15,6.95,7.8,0.2,27.95,0.75,3.4,55.9,331.5
15,6.95,7.7,0.25,35.45,0.9,30.9,70.9,920.5
16.25,7,7.65,0.2,30.45,0.85,3.9,60.9,323.5
16,6.7,7.55,0.2,32.95,0.6,3.95,65.9,333.5
15.5,6.9,7.6,0.2,35.45,0.55,3.9,70.9,354
16.25,6.85,7.6,0.2,37.95,0.6,3.95,75.9,300.5
17.5,7.05,7.95,0.3,56,0.85,4,112,496
15,6.85,8.05,0.3,45.45,0.85,30.65,90.9,2425.5
12.5,9.2,7.85,0.7,405.25,1.2,9,810.5,2371
12.5,9.05,7.9,1.25,94,1.25,13.9,188,2933.5
12,8.85,7.9,2.45,141.5,1.45,20.5,283,4049
13.5,9.3,7.8,0.65,415.75,1.35,22.5,831.5,516.5
22,8.2,8.4,0,0,0,0,0,191
22,8.2,8.4,0,0,0,0,0,188
21.5,7.8,7.95,0,0,0,0,0,116
16,8.5,8.1,0.2,0,0,0,0,119
22,8.6,8.35,0.1,85,0,23.5,170,399.5
20.5,9.3,8.1,0.1,72.25,0,19,144.5,417
20.3,7.35,7.9,0.95,58,0.4,15,116,275.5
18,6.25,7.95,1.2,19.5,0.8,9,39,636
0,7.25,7.95,1.25,42.95,1.5,13.3,85.9,336
9.5,8,7.65,0.15,46.5,0.65,10.9,93,146.5
10.5,7.8,7.55,0.2,54,0.6,19.4,108,168.5
12.25,8.4,7.6,0.2,41,14.05,3,82,669.5
12.5,8.35,7.75,0.2,39,0.65,4,78,126.5
22,9.2,8.6,0.2,0,0,0,0,172
19,8.3,7.5,0.2,31.5,0.4,2,63,184
19,8.1,7.2,0.3,35,0.5,2,70,172
15,8.2,7.3,0.2,0,0.2,0,0,228
18,7.25,7.7,1.55,88,4.15,17,176,1850
18,6.5,7.7,3.1,630,4.45,177,1260,3010
14.5,7.55,8.35,0.5,87.75,2.3,12,175.5,1697
20.75,7,7.65,0.15,31.25,0.2,3,62.5,443.5
19,10.1,7.75,1,35,0,33,70,125.5
20.5,9.5,7.9,1.1,97.5,0,90,195,354
19.5,9.6,7.95,1,37.5,0,38,75,138
19,9,7.55,1.5,120,0,145,240,202
18,9.3,7.85,1.1,70,0,65,140,71.5
0,8.6,7.55,1.55,0,0,0,0,157.5
21.25,9,7.25,1.85,1010,0.575,960,2020,210.5
21,9.4,7.05,1.35,760,0.55,605,1520,209.5
22.5,8.7,7.2,1.95,180,0.47,195,360,221
23.5,8.75,7.3,1.7,290,0.435,300,580,227
21.5,8.95,7.35,1.75,557.5,0.515,600,1115,227
20.5,10.1,7.5,1.7,177.5,0.585,220,355,453.5
24.5,8.55,8,2.15,1100,0,850.9,2200,221
24,8.5,8.15,2.9,1975,0,2000,3950,275
24,8.1,8.2,3.5,2450,0,2500,4900,283
24,8.35,8.35,3.35,2275,0,2400,4550,276.5
24,8.05,8.25,3.25,2425,0,2550,4850,285.5
24,8.05,8.25,3.1,2025,0,2650,4050,284
24,7.7,8.25,3.55,2900,0,3250,5800,299.5
24,7,8,4.5,22750,0,26000,45500,332.5
24,7.6,8.1,4.1,15250,0,14650,30500,305.5
