,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (μmho/ Cm)
8,11.5,9.65,7.75,0.2,142.5,0.3,52.5,285.0,87.5
9,21.1,8.7,8.0,0.0,1.0,0.5,2.0,2.0,214.0
10,26.0,8.9,8.0,0.0,6500.0,0.5,2000.0,13000.0,215.0
11,20.0,7.75,7.6,1.05,41.0,0.25,38.5,82.0,209.0
12,21.5,8.15,7.85,1.2,89.75,0.35,86.5,179.5,252.0
13,21.5,8.2,7.7,1.2,60.0,0.25,68.0,120.0,260.0
14,21.0,7.949999999999999,8.0,1.35,240.0,0.55,292.0,480.0,255.0
15,20.5,7.6,7.75,1.55,337.5,0.7,375.0,675.0,275.5
16,20.0,7.8999999999999995,7.550000000000001,1.35,217.5,0.65,300.0,435.0,295.0
17,20.5,8.3,7.75,1.3,277.5,0.55,357.0,555.0,256.0
2,20.0,7.8,7.8,1.3,210.0,0.8,220.0,420.0,254.5
3,19.5,8.3,7.7,1.2,187.5,0.45,172.0,375.0,253.0
4,23.0,8.15,7.699999999999999,1.2,187.5,0.7,230.0,375.0,261.0
2,9.5,8.850000000000001,7.9,0.8999999999999999,411.5,0.75,55.9,823.0,1345.0
3,9.5,8.4,7.6,0.55,409.75,0.75,20.4,819.5,1339.5
4,11.25,8.6,7.55,0.6,423.5,0.785,105.9,847.0,1321.0
5,11.25,8.7,7.6,0.95,452.5,0.78,47.9,905.0,1293.5
6,12.0,8.65,7.75,0.95,430.0,0.87,35.9,860.0,1221.0
7,11.5,8.5,7.9,0.65,70.45,0.7,29.0,140.9,1330.5
8,11.5,8.5,7.7,0.7,177.5,0.75,48.0,355.0,1317.0
9,17.0,9.850000000000001,8.2,0.1,97.5,0.16,23.0,195.0,1174.0
10,16.0,9.8,7.85,0.45,125.0,0.255,22.0,250.0,680.0
11,12.0,7.65,7.85,0.25,42.95,0.58,19.4,85.9,1364.5
12,19.75,9.05,8.3,0.25,112.5,0.1,27.5,225.0,279.0
13,20.0,9.7,8.3,0.25,130.0,0.15000000000000002,35.0,260.0,143.5
14,10.35,8.7,7.9,0.7,81.5,0.55,25.5,163.0,752.5
15,10.35,8.75,7.65,0.6,108.5,0.55,32.0,217.0,745.0
16,17.5,8.45,7.85,0.0,392.5,3.1,235.0,785.0,402.0
17,18.0,8.4,7.65,0.0,245.0,2.05,141.5,490.0,303.5
18,18.0,8.4,7.7,0.0,227.5,4.45,125.5,455.0,235.5
19,19.0,8.5,7.7,1.0,305.0,6.3500000000000005,224.5,610.0,291.0
20,19.0,8.1,7.800000000000001,1.3,367.5,1.2,356.5,735.0,260.0
2,18.0,5.2,8.0,3.5,0.0,0.0,0.0,0.0,405.0
3,18.0,6.45,8.25,5.1,0.0,0.65,0.0,0.0,420.0
4,20.5,6.8,8.15,2.75,0.0,0.2,0.0,0.0,265.0
5,11.0,8.5,7.6,0.2,0.0,0.0,0.0,0.0,160.0
6,11.0,8.7,7.65,0.15000000000000002,0.0,0.0,0.0,0.0,159.0
7,11.0,8.8,7.5,0.2,0.0,0.0,0.0,0.0,156.5
8,11.0,8.1,7.75,1.0,0.0,0.0,0.0,0.0,105.5
9,19.0,6.4,7.35,6.85,0.0,1.1500000000000001,0.0,0.0,600.0
10,20.5,7.1,8.05,0.9500000000000001,0.0,0.0,0.0,0.0,297.0
11,6.15,9.05,7.75,0.8,0.0,0.0,0.0,0.0,140.0
12,6.25,9.0,7.7,0.9,0.0,0.0,0.0,0.0,165.0
13,6.0,9.05,7.5,1.05,0.0,0.0,0.0,0.0,142.5
14,8.4,8.899999999999999,7.9,0.85,0.0,0.0,0.0,0.0,132.0
15,8.75,8.8,7.699999999999999,1.1,0.0,0.0,0.0,0.0,132.5
16,10.7,7.85,7.95,0.8500000000000001,0.0,0.0,0.0,0.0,275.0
17,10.75,8.0,7.9,1.1,0.0,0.0,0.0,0.0,315.5
18,12.65,9.05,7.65,0.95,0.0,0.0,0.0,0.0,230.5
2,13.049999999999999,8.3,7.55,1.35,0.0,0.0,0.0,0.0,235.0
3,12.700000000000001,8.75,7.5,0.8500000000000001,0.0,0.0,0.0,0.0,212.0
4,17.95,8.15,7.9,0.55,0.0,0.1,0.0,0.0,249.5
5,18.1,7.9,8.1,0.75,0.0,0.1,0.0,0.0,251.5
6,23.0,6.1,8.100000000000001,6.9,0.0,0.45,0.0,0.0,629.0
7,22.0,7.050000000000001,8.2,1.8,0.0,0.3,0.0,0.0,263.0
8,20.5,4.3,8.35,4.7,0.0,0.3,0.0,0.0,462.5
9,20.5,7.800000000000001,8.399999999999999,1.3,0.0,0.55,0.0,0.0,245.5
10,21.0,7.25,8.3,1.15,0.0,0.2,0.0,0.0,271.0
2,19.799999999999997,4.4,7.8,36.8,411.75,2.2,468.5,823.5,875.0
3,21.0,8.35,7.800000000000001,1.4,630.0,5.6000000000000005,399.0,1260.0,338.0
4,15.0,6.95,7.8,0.2,27.95,0.75,3.4,55.9,331.5
5,15.0,6.95,7.7,0.25,35.45,0.9,30.9,70.9,920.5
2,16.25,7.0,7.65,0.2,30.45,0.85,3.9,60.9,323.5
3,16.0,6.699999999999999,7.55,0.2,32.95,0.6000000000000001,3.9499999999999997,65.9,333.5
4,15.5,6.9,7.6,0.2,35.45,0.55,3.9,70.9,354.0
5,16.25,6.85,7.6,0.2,37.95,0.6,3.9499999999999997,75.9,300.5
6,17.5,7.050000000000001,7.949999999999999,0.3,56.0,0.8500000000000001,4.0,112.0,496.0
7,15.0,6.85,8.05,0.3,45.45,0.85,30.65,90.9,2425.5
9,12.5,9.2,7.85,0.7,405.25,1.2,9.0,810.5,2371.0
10,12.5,9.05,7.9,1.25,94.0,1.25,13.9,188.0,2933.5
11,12.0,8.850000000000001,7.8999999999999995,2.4499999999999997,141.5,1.45,20.5,283.0,4049.0
12,13.5,9.3,7.8,0.65,415.75,1.35,22.5,831.5,516.5
13,22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,191.0
14,22.0,8.2,8.4,0.0,0.0,0.0,0.0,0.0,188.0
15,21.5,7.8,7.95,0.0,0.0,0.0,0.0,0.0,116.0
16,16.0,8.5,8.1,0.2,0.0,0.0,0.0,0.0,119.0
17,22.0,8.6,8.35,0.1,85.0,0.0,23.5,170.0,399.5
18,20.5,9.3,8.100000000000001,0.1,72.25,0.0,19.0,144.5,417.0
2,20.3,7.35,7.9,0.9500000000000001,58.0,0.4,15.0,116.0,275.5
3,18.0,6.25,7.949999999999999,1.2000000000000002,19.5,0.8,9.0,39.0,636.0
4,0.0,7.25,7.95,1.25,42.95,1.5,13.3,85.9,336.0
5,9.5,8.0,7.65,0.15000000000000002,46.5,0.65,10.9,93.0,146.5
6,10.5,7.800000000000001,7.55,0.2,54.0,0.6000000000000001,19.4,108.0,168.5
7,12.25,8.399999999999999,7.6,0.2,41.0,14.05,3.0,82.0,669.5
8,12.5,8.35,7.75,0.2,39.0,0.65,4.0,78.0,126.5
9,22.0,9.2,8.6,0.2,0.0,0.0,0.0,0.0,172.0
10,19.0,8.3,7.5,0.2,31.5,0.4,2.0,63.0,184.0
11,19.0,8.1,7.2,0.3,35.0,0.5,2.0,70.0,172.0
12,15.0,8.2,7.3,0.2,0.0,0.2,0.0,0.0,228.0
13,18.0,7.25,7.7,1.5499999999999998,88.0,4.15,17.0,176.0,1850.0
14,18.0,6.5,7.7,3.1,630.0,4.45,177.0,1260.0,3010.0
15,14.5,7.550000000000001,8.35,0.5,87.75,2.3000000000000003,12.0,175.5,1697.0
16,20.75,7.0,7.6499999999999995,0.15000000000000002,31.25,0.2,3.0,62.5,443.5
2,19.0,10.1,7.75,1.0,35.0,0.0,33.0,70.0,125.5
3,20.5,9.5,7.9,1.1,97.5,0.0,90.0,195.0,354.0
4,19.5,9.6,7.95,1.0,37.5,0.0,38.0,75.0,138.0
5,19.0,9.0,7.55,1.5,120.0,0.0,145.0,240.0,202.0
6,18.0,9.3,7.8500000000000005,1.1,70.0,0.0,65.0,140.0,71.5
7,0.0,8.6,7.550000000000001,1.55,0.0,0.0,0.0,0.0,157.5
8,21.25,9.0,7.25,1.8499999999999999,1010.0,0.575,960.0,2020.0,210.5
9,21.0,9.4,7.05,1.35,760.0,0.55,605.0,1520.0,209.5
10,22.5,8.7,7.2,1.95,180.0,0.47,195.0,360.0,221.0
11,23.5,8.75,7.3,1.7000000000000002,290.0,0.43500000000000005,300.0,580.0,227.0
12,21.5,8.95,7.35,1.75,557.5,0.515,600.0,1115.0,227.0
13,20.5,10.1,7.5,1.7,177.5,0.585,220.0,355.0,453.5
14,24.5,8.55,8.0,2.15,1100.0,0.0,850.9,2200.0,221.0
15,24.0,8.5,8.15,2.9,1975.0,0.0,2000.0,3950.0,275.0
16,24.0,8.1,8.2,3.5,2450.0,0.0,2500.0,4900.0,283.0
17,24.0,8.35,8.350000000000001,3.35,2275.0,0.0,2400.0,4550.0,276.5
18,24.0,8.05,8.25,3.25,2425.0,0.0,2550.0,4850.0,285.5
19,24.0,8.05,8.25,3.0999999999999996,2025.0,0.0,2650.0,4050.0,284.0
2,24.0,7.7,8.25,3.5500000000000003,2900.0,0.0,3250.0,5800.0,299.5
3,24.0,7.0,8.0,4.5,22750.0,0.0,26000.0,45500.0,332.5
4,24.0,7.6,8.1,4.1,15250.0,0.0,14650.0,30500.0,305.5
5,22.0,8.8,8.3,3.4499999999999997,1800.0,0.8200000000000001,3050.0,3600.0,329.5
6,22.0,8.95,8.2,3.4,1775.0,0.8,2900.0,3550.0,331.0
7,27.4,9.75,8.0,2.6500000000000004,8350.0,1.445,9150.0,16700.0,207.5
8,27.55,9.2,8.15,2.95,9500.0,1.575,9300.0,19000.0,209.0
9,27.7,9.15,8.1,2.7,8850.0,1.6099999999999999,8150.0,17700.0,259.5
10,27.75,9.35,7.949999999999999,2.35,7250.0,1.52,6250.0,14500.0,261.0
11,24.25,8.2,8.3,2.6500000000000004,1000.0,0.69,1050.0,2000.0,410.0
12,24.4,7.550000000000001,8.35,3.5999999999999996,8750.0,1.07,9000.0,17500.0,430.0
13,24.25,7.8500000000000005,5.35,3.3499999999999996,5500.0,0.9450000000000001,6500.0,11000.0,424.0
14,25.75,8.6,8.25,2.5,1125.0,0.18,1100.0,2250.0,438.0
15,25.75,7.2,8.3,3.8,15000.0,0.275,17000.0,30000.0,460.0
16,26.5,7.9,8.399999999999999,3.4,6250.0,0.22999999999999998,8000.0,12500.0,447.0
17,24.0,7.85,8.15,3.5999999999999996,4400.0,0.0,3850.0,8800.0,310.0
18,26.25,7.15,8.399999999999999,3.8,13000.0,0.28500000000000003,14000.0,26000.0,461.5
19,26.0,8.5,8.0,2.0999999999999996,40575.0,0.195,14225.0,81150.0,381.0
4,26.0,3.35,7.6499999999999995,37.5,40087.5,4.85,27023.0,80175.0,5730.0
9,23.0,1.75,7.65,24.0,2435.0,10.399999999999999,2775.0,4870.0,1000.0
10,23.0,2.2,7.55,26.5,1537.5,6.5,760.0,3075.0,1179.5
11,23.5,3.05,8.05,19.2,535.0,5.45,460.5,1070.0,1035.5
14,28.5,6.5,7.85,11.5,40400.0,2.1999999999999997,46110.0,80800.0,1110.5
18,0.0,8.6,7.3,1.0,8000.0,0.2,5400.0,16000.0,429.0
19,19.0,2.6,7.5,27.5,800.0,0.0,0.0,1600.0,579.0
20,25.0,5.2,7.35,4.05,0.0,0.0,0.0,0.0,348.0
21,25.0,1.6,6.65,38.0,0.0,0.0,0.0,0.0,452.0
2,21.5,4.3999999999999995,7.449999999999999,8.4,0.0,0.0,0.0,0.0,382.5
3,21.5,1.9000000000000001,7.35,33.0,0.0,0.0,0.0,0.0,503.0
4,25.0,5.6,7.6,7.0,0.0,0.0,0.0,0.0,395.0
5,16.0,7.199999999999999,7.55,1.5,0.0,0.0,0.0,0.0,220.0
6,25.0,4.6,7.300000000000001,7.0,0.0,0.0,0.0,0.0,532.0
7,25.0,5.5,7.6,6.8,0.0,0.0,0.0,0.0,398.5
8,21.0,5.1,7.699999999999999,7.9,0.0,0.0,0.0,0.0,212.5
9,25.0,5.0,7.550000000000001,9.4,0.0,0.0,0.0,0.0,377.0
10,24.5,3.9000000000000004,7.05,14.0,0.0,0.0,0.0,0.0,491.5
11,24.5,5.0,7.449999999999999,7.0,0.0,0.0,0.0,0.0,430.0
12,24.5,8.15,8.3,5.15,6025.0,0.0,5800.0,12050.0,453.0
13,27.8,8.2,7.3,0.0,3900.0,0.5,2000.0,7800.0,175.0
14,28.2,8.3,7.4,0.0,6500.0,0.5,2000.0,13000.0,177.0
2,25.9,6.949999999999999,8.15,4.2,14350.0,1.55,12100.0,28700.0,348.5
3,25.9,6.7,8.100000000000001,4.4,18375.0,1.55,17700.0,36750.0,354.0
4,26.25,3.0,7.6,8.5,65250.0,2.2,93500.0,130500.0,394.5
5,26.25,2.3,7.55,8.95,140500.0,2.35,128500.0,281000.0,402.0
6,26.25,2.3,8.05,9.3,57500.0,2.8499999999999996,62500.0,115000.0,518.0
7,26.25,1.9,7.55,10.1,74750.0,2.95,109500.0,149500.0,526.5
8,26.25,4.1,8.05,4.95,18500.0,1.35,24100.0,37000.0,393.0
9,26.25,4.45,8.05,4.3,13075.0,1.35,17350.0,26150.0,384.5
10,23.5,6.95,7.949999999999999,4.550000000000001,3825.0,0.8500000000000001,5250.0,7650.0,384.5
