,Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Faecal Streptococci (MPN/ 100 mL),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),Class
24,26.0,8.9,8.0,0.0,6500.0,0.5,2000.0,13000.0,215.0,1
25,20.0,7.75,7.6,1.05,41.0,0.25,38.5,82.0,209.0,1
26,21.5,8.15,7.85,1.2,89.75,0.35,86.5,179.5,252.0,2
27,21.5,8.2,7.7,1.2,60.0,0.25,68.0,120.0,260.0,2
28,21.0,7.95,8.0,1.35,240.0,0.55,292.0,480.0,255.0,2
29,20.5,7.6,7.75,1.55,337.5,0.7,375.0,675.0,275.5,2
30,20.0,7.9,7.55,1.35,217.5,0.65,300.0,435.0,295.0,2
31,20.5,8.3,7.75,1.3,277.5,0.55,357.0,555.0,256.0,2
32,20.0,7.8,7.8,1.3,210.0,0.8,220.0,420.0,254.5,2
33,19.5,8.3,7.7,1.2,187.5,0.45,172.0,375.0,253.0,2
34,23.0,8.15,7.7,1.2,187.5,0.7,230.0,375.0,261.0,2
35,9.5,8.85,7.9,0.9,411.5,0.75,55.9,823.0,1345.0,4
36,9.5,8.4,7.6,0.55,409.75,0.75,20.4,819.5,1339.5,4
37,11.25,8.6,7.55,0.6,423.5,0.785,105.9,847.0,1321.0,4
38,11.25,8.7,7.6,0.95,452.5,0.78,47.9,905.0,1293.5,4
39,12.0,8.65,7.75,0.95,430.0,0.87,35.9,860.0,1221.0,4
40,11.5,8.5,7.9,0.65,70.45,0.7,29.0,140.9,1330.5,4
41,11.5,8.5,7.7,0.7,177.5,0.75,48.0,355.0,1317.0,4
42,17.0,9.85,8.2,0.1,97.5,0.16,23.0,195.0,1174.0,4
43,16.0,9.8,7.85,0.45,125.0,0.255,22.0,250.0,680.0,4
44,12.0,7.65,7.85,0.25,42.95,0.58,19.4,85.9,1364.5,4
45,19.75,9.05,8.3,0.25,112.5,0.1,27.5,225.0,279.0,2
46,20.0,9.7,8.3,0.25,130.0,0.15,35.0,260.0,143.5,1
47,10.35,8.7,7.9,0.7,81.5,0.55,25.5,163.0,752.5,4
48,10.35,8.75,7.65,0.6,108.5,0.55,32.0,217.0,745.0,4
49,17.5,8.45,7.85,0.0,392.5,3.1,235.0,785.0,402.0,3
50,18.0,8.4,7.65,0.0,245.0,2.05,141.5,490.0,303.5,2
